Fort Leonard Wood Missouri,37.7057,-92.1572
Gila County,33.789618,-110.811870 
Jacob Lake,36.6997121,-112.2137894
Lakeside Arizona,34.1425,-109.9604
Farmington,42.4853,-83.3772
Clay Basin,40.9744038,-109.2320741
Fredonia,36.9455,-112.5266
Hague,52.0767,4.2986
Mill Valley California,37.2266,-121.9747
Townsville,-19.2664,146.8057
Manhattan,40.7143,-74.006
Tapeats Cave,36.3703992,-112.4699655
Tanner Springs,35.2883528,-109.6856701
Holbrook Arizona,34.9023,-110.1582
Kingston,40.4259,-86.9081
Alamogordo New Mexico,32.8995,-105.9603
Indonesia,-0.789275,113.921327
Penticton,49.4806,-119.5858
Tyler Texas,32.3513,-95.3011
China,35.86166,104.195397
Chuar Butte,36.1938747,-111.8254377
Toroweap,36.2283144,-113.0799267
Winslow,47.6262,-122.5212
Rio Grande,-22.8833,-43.1036
Gates of Lodore,40.713296,-108.8928938
House Rock,36.6735979,-111.741552
Montgomery Alabama,32.3668,-86.3
Toquerville,37.2533,-113.2847
Kingman,35.1894,-114.053
Thunder River,36.3919268,-112.4512936
Lake Tahoe,38.9332,-119.9844
Phoenix Arizona,33.4484,-112.074
South Carolina,33.856892,-80.945007
Honduras,15.199999,-86.241905
Sanders Arizona,35.2164,-109.3337
Crystal Rapid,36.1366442,-112.2464654
Fort Myers Florida,26.6217,-81.8406
San Augustine,27.5064,-99.5075
Chandler,33.3062,-111.8413
Mancos,37.345,-108.2892
Laredo,27.5064,-99.5075
Douglas Arizona,31.3446,-109.5453
Catalina Mountains,32.2676967,-110.9212691
Canyon Diablo,35.025016,-111.000696
Grand Canyon Village,36.0464,-112.1541
San Juan River,37.1797156,-110.900703
Milwaukee,43.0389,-87.9065
Globe,33.3942,-110.7865
Okinawa,26.3358,127.8014
Ticaboo,37.6749898,-110.6965342
Desolation,39.4166324,-110.0109796
Loyalton California,39.6763,-120.241
Black Canyon,34.0709,-112.1507
Pinedale Arizona,34.3075,-110.2515
Fullerton,33.8703,-117.9253
Vail,32.0479,-110.712
Mormon Lake,34.9083543,-111.4632051
Fort Benning,33.3417217,-111.0878969
Yarnell Hill,34.1869711,-112.7271223
Bisbee,31.4481,-109.9284
Lake City,40.7608,-111.8911
Edith Colorado,37.0056,-106.9103
Fort Worth Texas,32.7254,-97.3208
Vermilion Cliffs,36.790265,-111.6837737
